id,lat,lon,timestamp,source_url,license,name,kind,description
wd-Q48927716-august-kunzek,49.788082173,18.125896003,1795-01-28T00:00:00Z,https://www.wikidata.org/wiki/Q48927716,CC-BY-SA-4.0,August Kunzek,physicist,physicist and mathematician (1795-1865)
wd-Q50659533-emmanuel-develey,46.816666666,6.933333333,1764-05-27T00:00:00Z,https://www.wikidata.org/wiki/Q50659533,CC-BY-SA-4.0,Emmanuel Develey,physicist,(1764-1839)
wd-Q51119882-joseph-von-herbert,46.616666666,14.3,1725-08-26T00:00:00Z,https://www.wikidata.org/wiki/Q51119882,CC-BY-SA-4.0,Joseph von Herbert,physicist,
wd-Q52148234-henri-struve,46.533333333,6.633333333,1751-09-06T00:00:00Z,https://www.wikidata.org/wiki/Q52148234,CC-BY-SA-4.0,Henri Struve,physicist,Swiss geologist
wd-Q53503414-jacob-l-admiral,52.366666666,4.883333333,1700-02-12T00:00:00Z,https://www.wikidata.org/wiki/Q53503414,CC-BY-SA-4.0,Jacob L'Admiral,physicist,entomologist (1700-1770)
wd-Q54805330-johann-leonhard-sp-th,48.368888888,10.897777777,1759-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q54805330,CC-BY-SA-4.0,Johann Leonhard Späth,physicist,German mathematician and physicist
wd-Q55021430-andreas-elias-b-chner,50.978055555,11.028888888,1701-04-09T00:00:00Z,https://www.wikidata.org/wiki/Q55021430,CC-BY-SA-4.0,Andreas Elias Büchner,physicist,physician and university teacher (1701-1769)
wd-Q55033821-felice-fontana,45.9281,11.04308,1730-04-15T00:00:00Z,https://www.wikidata.org/wiki/Q55033821,CC-BY-SA-4.0,Felice Fontana,physicist,Italian polymath
wd-Q55123032-johann-heinrich-gottlieb-fricke,52.269166666,10.521111111,1763-12-11T00:00:00Z,https://www.wikidata.org/wiki/Q55123032,CC-BY-SA-4.0,Johann Heinrich Gottlieb Fricke,physicist,
wd-Q55123252-friedrich-gottlieb-von-busse,52.526388888,11.3925,1756-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q55123252,CC-BY-SA-4.0,Friedrich Gottlieb von Busse,physicist,
wd-Q55123363-johann-christian-arnold,51.2,11.966666666,1724-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q55123363,CC-BY-SA-4.0,Johann Christian Arnold,physicist,naturalist
wd-Q55125695-johann-christian-wilhelm-nicolai,50.834166666,10.946388888,1757-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q55125695,CC-BY-SA-4.0,Johann Christian Wilhelm Nicolai,physicist,naturalist
