id,lat,lon,timestamp,source_url,license,sponsor,country,application_number,brand,generic,route,dosage_form,pharm_class,marketing_status,submission_type
ANDA065187,NaN,NaN,2005-10-28T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=065187,openFDA-public,SCIEGEN PHARMS,??,ANDA065187,NEOMYCIN AND POLYMYXIN B SULFATES AND GRAMICIDIN,GRAMICIDIN,OPHTHALMIC,SOLUTION/DROPS,,Prescription,ORIG
ANDA075403,NaN,NaN,2001-02-28T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075403,openFDA-public,APOTEX INC,??,ANDA075403,METAPROTERENOL SULFATE,METAPROTERENOL SULFATE,INHALATION,SOLUTION,,Discontinued,ORIG
ANDA075690,NaN,NaN,2023-08-18T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075690,openFDA-public,ACTAVIS MID ATLANTIC,??,ANDA075690,FLUOXETINE HYDROCHLORIDE,FLUOXETINE HYDROCHLORIDE,ORAL,SOLUTION,,Discontinued,SUPPL
ANDA075978,NaN,NaN,2002-09-04T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=075978,openFDA-public,HERITAGE PHARMA,??,ANDA075978,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,ORAL,TABLET,,Discontinued,SUPPL
ANDA070888,NaN,NaN,1994-01-06T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=070888,openFDA-public,HOSPIRA,??,ANDA070888,AMINOCAPROIC ACID,AMINOCAPROIC ACID,INJECTION,INJECTABLE,,Discontinued,SUPPL
ANDA071210,NaN,NaN,1998-09-21T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=071210,openFDA-public,CHARTWELL RX,??,ANDA071210,HALOPERIDOL,HALOPERIDOL,ORAL,TABLET,,Prescription,SUPPL
NDA016297,50.0782,8.5667,1978-05-15T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016297,openFDA-public,FRESENIUS KABI USA,DE,NDA016297,XYLOCAINE 1.5% W/ DEXTROSE 7.5%,LIDOCAINE HYDROCHLORIDE,SPINAL,INJECTABLE,,Discontinued,SUPPL
NDA016704,NaN,NaN,1969-11-18T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=016704,openFDA-public,B BRAUN,??,NDA016704,RESECTISOL,MANNITOL,IRRIGATION,SOLUTION,,Discontinued,ORIG
ANDA074114,NaN,NaN,1993-11-30T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074114,openFDA-public,WATSON LABS,??,ANDA074114,DOBUTAMINE HYDROCHLORIDE,DOBUTAMINE HYDROCHLORIDE,INJECTION,INJECTABLE,,Discontinued,ORIG
ANDA074456,NaN,NaN,1998-03-17T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=074456,openFDA-public,WATSON LABS,??,ANDA074456,ALPRAZOLAM,ALPRAZOLAM,ORAL,TABLET,,Discontinued,SUPPL
