id,lat,lon,timestamp,source_url,license,provider,country_iso2,kind,title
world-history:wd-Q257724-ethiopian-civil-war,9,40,1974-09-12T00:00:00Z,https://www.wikidata.org/wiki/Q257724,CC-BY-SA-4.0,world-history,ET,war,Ethiopian Civil War
world-history:wd-Q3290619-first-shaba-war,-10.36666667,23.45,1977-05-26T00:00:00Z,https://www.wikidata.org/wiki/Q3290619,CC-BY-SA-4.0,world-history,ZM,war,First Shaba War
world-history:wd-Q48249-falklands-war,-51.75,-59,1982-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q48249,CC-BY-SA-4.0,world-history,AR,war,Falklands War
world-history:wd-Q213394-sri-lankan-civil-war,7,81,1983-07-23T00:00:00Z,https://www.wikidata.org/wiki/Q213394,CC-BY-SA-4.0,world-history,LK,war,Sri Lankan civil war
world-history:wd-Q4581203-1983-soviet-nuclear-false-alarm-incident,55.068333,37.041389,1983-09-26T00:00:00Z,https://www.wikidata.org/wiki/Q4581203,CC-BY-SA-4.0,world-history,BY,war,1983 Soviet nuclear false alarm incident
world-history:wd-Q68718107-moba-wars,-7.067,29.717,1984-11-01T00:00:00Z,https://www.wikidata.org/wiki/Q68718107,CC-BY-SA-4.0,world-history,BI,war,Moba Wars
world-history:wd-Q580961-agacher-strip-war,14.9,-0.4,1985-12-14T00:00:00Z,https://www.wikidata.org/wiki/Q580961,CC-BY-SA-4.0,world-history,BF,war,Agacher Strip War
world-history:wd-Q10360270-bougainville-conflict,-6,155,1988-12-01T00:00:00Z,https://www.wikidata.org/wiki/Q10360270,CC-BY-SA-4.0,world-history,SB,war,Bougainville conflict
world-history:wd-Q7970684-warri-crisis,5.52,5.75,1990-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q7970684,CC-BY-SA-4.0,world-history,NG,war,Warri Crisis
world-history:wd-Q1070890-georgian-civil-war,42,44,1991-12-22T00:00:00Z,https://www.wikidata.org/wiki/Q1070890,CC-BY-SA-4.0,world-history,GE,war,Georgian civil war
world-history:wd-Q1209169-war-in-abkhazia,43.15,41,1992-08-14T00:00:00Z,https://www.wikidata.org/wiki/Q1209169,CC-BY-SA-4.0,world-history,GE,war,War in Abkhazia
world-history:wd-Q2002975-nepalese-civil-war,28,84,1996-02-13T00:00:00Z,https://www.wikidata.org/wiki/Q2002975,CC-BY-SA-4.0,world-history,NP,war,Nepalese Civil War
world-history:wd-Q832273-eritrean-ethiopian-war,15,39,1998-05-06T00:00:00Z,https://www.wikidata.org/wiki/Q832273,CC-BY-SA-4.0,world-history,ER,war,Eritrean–Ethiopian War
world-history:wd-Q959303-1998-war-in-abkhazia,43.15,41,1998-05-20T00:00:00Z,https://www.wikidata.org/wiki/Q959303,CC-BY-SA-4.0,world-history,GE,war,1998 War in Abkhazia
world-history:wd-Q643925-war-of-dagestan,42.9839,47.505,1999-08-02T00:00:00Z,https://www.wikidata.org/wiki/Q643925,CC-BY-SA-4.0,world-history,AZ,war,War of Dagestan
world-history:wd-Q475678-mexican-drug-war,19.4194,-99.1456,2006-12-11T00:00:00Z,https://www.wikidata.org/wiki/Q475678,CC-BY-SA-4.0,world-history,MX,war,Mexican drug war
world-history:wd-Q10292592-insurgency-in-ingushetia,43.2,45,2007-07-21T00:00:00Z,https://www.wikidata.org/wiki/Q10292592,CC-BY-SA-4.0,world-history,GE,war,Insurgency in Ingushetia
world-history:wd-Q1354920-djiboutian-eritrean-border-conflict,12.70833333,43.13333333,2008-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q1354920,CC-BY-SA-4.0,world-history,DJ,war,Djiboutian–Eritrean border conflict
world-history:wd-Q620735-russo-georgian-war,41.989444,44.417778,2008-08-07T00:00:00Z,https://www.wikidata.org/wiki/Q620735,CC-BY-SA-4.0,world-history,GE,war,Russo-Georgian War
world-history:wd-Q5887732-war-against-drug-trafficking-in-tepic,21.51666667,-104.9,2009-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q5887732,CC-BY-SA-4.0,world-history,MX,war,War against drug trafficking in Tepic
