id,lat,lon,timestamp,source_url,license,title,country,description
wd-Q18481006-brazilian-constitution-of-1937,-15.793888888,-47.882777777,1937-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q18481006,CC-BY-SA-4.0,Brazilian Constitution of 1937,Brazil,Brazilian statute between 1937-1946
wd-Q733272-constitution-of-ireland,53.349722222,-6.260277777,1937-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q733272,CC-BY-SA-4.0,Constitution of Ireland,Ireland,national democratic constitution
wd-Q237082-constitution-of-japan,35.689444444,139.691666666,1946-10-07T00:00:00Z,https://www.wikidata.org/wiki/Q237082,CC-BY-SA-4.0,Constitution of Japan,Japan,supreme law of Japan since 1947
wd-Q56045-basic-law-for-the-federal-republic-of-germany,50.735277777,7.102222222,1949-05-23T00:00:00Z,https://www.wikidata.org/wiki/Q56045,CC-BY-SA-4.0,Basic Law for the Federal Republic of Germany,West Germany,constitution of the Federal Republic of Germany
wd-Q56045-basic-law-for-the-federal-republic-of-germany,52.516666666,13.383333333,1949-05-23T00:00:00Z,https://www.wikidata.org/wiki/Q56045,CC-BY-SA-4.0,Basic Law for the Federal Republic of Germany,Germany,constitution of the Federal Republic of Germany
wd-Q4231522-constitution-of-costa-rica,9.932738888,-84.079613888,1949-11-08T00:00:00Z,https://www.wikidata.org/wiki/Q4231522,CC-BY-SA-4.0,Constitution of Costa Rica,Costa Rica,supreme law of Costa Rica
wd-Q1669204-constitution-of-the-state-of-baden-w-rttemberg,48.7775,9.18,1953-11-11T00:00:00Z,https://www.wikidata.org/wiki/Q1669204,CC-BY-SA-4.0,Constitution of the State of Baden-Württemberg,Baden-Württemberg,state constitution of the German state of Baden-Württemberg
wd-Q19110269-michigan-constitution-of-1963,42.7335,-84.5467,1963-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q19110269,CC-BY-SA-4.0,Michigan Constitution of 1963,Michigan,constitution of the US state of Michigan
wd-Q5164166-constitution-of-barbados,13.0975,-59.616666666,1966-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q5164166,CC-BY-SA-4.0,Constitution of Barbados,Barbados,supreme law of Barbados
wd-Q9855839-brazilian-constitution-of-1967,-15.793888888,-47.882777777,1967-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q9855839,CC-BY-SA-4.0,Brazilian Constitution of 1967,Brazil,
wd-Q128802787-pennsylvania-constitution-of-1968,40.264554871,-76.883381676,1968-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q128802787,CC-BY-SA-4.0,Pennsylvania Constitution of 1968,Pennsylvania,constitution of the US state of Pennsylvania
wd-Q5164218-constitution-of-north-carolina,35.78,-78.64,1970-11-03T00:00:00Z,https://www.wikidata.org/wiki/Q5164218,CC-BY-SA-4.0,Constitution of North Carolina,North Carolina,primary organizing law for the US state of North Carolina
wd-Q128810171-virginia-constitution-of-1971,37.540833333,-77.436666666,1971-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q128810171,CC-BY-SA-4.0,Virginia Constitution of 1971,Virginia,constitution of the US state of Virginia
wd-Q5164203-constitution-of-louisiana-of-1974,29.976111111,-90.078333333,1974-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q5164203,CC-BY-SA-4.0,Constitution of Louisiana of 1974,Louisiana,
wd-Q5164203-constitution-of-louisiana-of-1974,30.4475,-91.178611111,1974-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q5164203,CC-BY-SA-4.0,Constitution of Louisiana of 1974,Louisiana,
wd-Q10650485-1974-instrument-of-government,59.329444444,18.068611111,1974-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q10650485,CC-BY-SA-4.0,1974 Instrument of Government,Sweden,one of four acts of the Swedish Constitution
wd-Q19045282-georgia-state-constitution-of-1976,33.754444444,-84.389722222,1976-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q19045282,CC-BY-SA-4.0,Georgia State Constitution of 1976,Georgia,constitution of the US state of Georgia
wd-Q2386422-constitution-of-brazil,-15.793888888,-47.882777777,1988-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q2386422,CC-BY-SA-4.0,Constitution of Brazil,Brazil,"national Constitution, created 1988"
wd-Q18481046-political-constitution-of-the-state-of-cear,-3.7275,-38.5275,1989-10-05T00:00:00Z,https://www.wikidata.org/wiki/Q18481046,CC-BY-SA-4.0,Political Constitution of the State of Ceará,Ceará,"magna of the State of Ceará, Brazil"
wd-Q1276230-constitution-of-croatia,45.813055555,15.977222222,1990-12-22T00:00:00Z,https://www.wikidata.org/wiki/Q1276230,CC-BY-SA-4.0,Constitution of Croatia,Croatia,supreme law of Croatia
wd-Q2291330-constitution-of-romania,44.413361111,26.097777777,1991-12-08T00:00:00Z,https://www.wikidata.org/wiki/Q2291330,CC-BY-SA-4.0,Constitution of Romania,Romania,fundamental governing document of Romania
wd-Q1248626-constitution-of-the-state-of-brandenburg,52.4,13.066666666,1992-04-14T00:00:00Z,https://www.wikidata.org/wiki/Q1248626,CC-BY-SA-4.0,Constitution of the State of Brandenburg,Brandenburg,constitution of the German state
wd-Q724228-constitution-of-azerbaijan,40.366655555,49.835183333,1995-11-12T00:00:00Z,https://www.wikidata.org/wiki/Q724228,CC-BY-SA-4.0,Constitution of Azerbaijan,Azerbaijan,constitution
wd-Q1549039-constitution-of-ukraine,50.45,30.523611111,1996-06-28T00:00:00Z,https://www.wikidata.org/wiki/Q1549039,CC-BY-SA-4.0,Constitution of Ukraine,Ukraine,constitution
wd-Q7260596-puntland-constitution,8.4,48.483333333,1998-05-15T00:00:00Z,https://www.wikidata.org/wiki/Q7260596,CC-BY-SA-4.0,Puntland Constitution,Puntland,Puntland's penal code and legal framework
wd-Q891364-constitution-of-venezuela,10.506111111,-66.914444444,1999-11-17T00:00:00Z,https://www.wikidata.org/wiki/Q891364,CC-BY-SA-4.0,Constitution of Venezuela,Venezuela,the current and twenty-sixth constitution of Venezuela
wd-Q1357568-constitution-of-finland,60.170833333,24.9375,2000-03-01T00:00:00Z,https://www.wikidata.org/wiki/Q1357568,CC-BY-SA-4.0,Constitution of Finland,Finland,the supreme source of national law of Finland
wd-Q19456313-palestinian-basic-law,31.78336,35.23388,2003-03-18T00:00:00Z,https://www.wikidata.org/wiki/Q19456313,CC-BY-SA-4.0,Palestinian Basic Law,Palestine,The current constitution of the State of Palestine since 18 March 2003
wd-Q19456313-palestinian-basic-law,31.896944444,35.201666666,2003-03-18T00:00:00Z,https://www.wikidata.org/wiki/Q19456313,CC-BY-SA-4.0,Palestinian Basic Law,Palestine,The current constitution of the State of Palestine since 18 March 2003
wd-Q2856153-constitution-of-niger,13.515,2.1175,2010-10-31T00:00:00Z,https://www.wikidata.org/wiki/Q2856153,CC-BY-SA-4.0,Constitution of Niger,Niger,Constitution governing the political and legal organization of the Republic of Niger
wd-Q2687814-constitution-of-madagascar,-18.91,47.525,2010-12-11T00:00:00Z,https://www.wikidata.org/wiki/Q2687814,CC-BY-SA-4.0,Constitution of Madagascar,Madagascar,constitution of the Fourth Republic of Madagascar
wd-Q125750049-2023-constitution-of-mali,12.645833333,-7.992222222,2023-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q125750049,CC-BY-SA-4.0,2023 Constitution of Mali,Mali,
